"key","value"
"PLACEHOLDER","Søg Kort"
"TASK_LEFT","Task Resterende"
"TASKS_LEFT","opgaven forlod"
"DAY_LEFT","Day Resterende"
"DAYS_LEFT","Dage tilbage"
"ADD_NEW_TASK","Tilføj ny"
"IMPORT_BULK_TASKS","Bulk Import"
"ALL_ALERTS","Alle Alerts"
"DASHBOARD","instrumentbræt"
"ANALYTICS","Analytics"
"MORE","Mere"
"WHATS_NEW","Hvad er nyt"
"ACCOUNT","Konto"
"SUPPORT","Support"
"LOGOUT","Log ud"
"TODAY","i dag"
"NEW_DASHBOARD","Ny Dashboard"
"BUSINESS_VIEW","business View"
"OLD_DASHBOARD","Skift tilbage til gamle betjeningspanel"
"LIST","Liste"
"OVERALL","samlet set"
"UNVERIFIED","Unverified"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Besøg Fakturering Side"
"PAY_NOW","Betal nu"
"YOUR_TASSK_CREATED","Din opgave # 7548 er blevet oprettet."
"REPEAT_THIS_TASK","Gentag denne opgave"
"DONUT_SMALL","donut_small"
"PERSON","person"
"MORE_HORIZ","more_horiz"
"EXPLORE","udforske"
"REDEEM","Indløs"
"EXIT_TO_APP","exit_to_app"
"BANNER","Banner"
"ANOTHER_OFFERING","Tilføj en Offering"
"MENU","Menu"
"ALERT_SOUND","Alert Sound"
"FULL_SCREEN","Fuld skærm"
"ALERTS","Advarsler"
"TRAIL_PERIOD","Prøveperiode"
"TASKS","Opgaver"
"OPTIMIZE_ROUTE","Optimer Rute"
"TIME","Tid"
"FILTER","Filter"
"DISTANCE","Afstand"
"SELECT_UNASSIGNED","Vælg tildelte opgaver"
"TIME_RANGE","Time Range"
"TO","til"
"NO_TASK_MSG","Du behøver ikke have nogen opgave for valgte tidsinterval"
"SELECT","Vælg"
"MIN_TASK","Minimum Task Per"
"MAX_TASK","Maksimal Task Per"
"MAX","Maksimum"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Rute optimering Prioritet"
"START_LOCATION","Agent startposition"
"CURRENT_LOCATION","Nuværende lokation"
"BUSINESS_LOCATION","forretning Beliggenhed"
"CUSTOM_LOCATION","Tilpasset placering"
"SELECT_ALL","Vælg alle"
"TASK","Opgave"
"UNROUTED_TASK","Unrouted Opgave"
"TASKS_NOT_ROUTED","opgaver blev ikke dirigeres"
"ROUTING","Routing"
"ROUTE_OPTIMIZATION_PARAMETERS","Vælg Rute optimeringsparametre"
"OPTIMIZED_VIA","Ruterne kan optimeres via"
"ENTER_CUSTOM_LOCATION","Indtast Tilpasset placering"
