"key","value"
"PLACEHOLDER","Search Mapa"
"TASK_LEFT","Task Natitirang"
"TASKS_LEFT","gawain pakaliwa"
"DAY_LEFT","Natitirang araw"
"DAYS_LEFT","Natitirang mga Araw"
"ADD_NEW_TASK","Magdagdag ng bago"
"IMPORT_BULK_TASKS","bulk-import"
"ALL_ALERTS","Lahat ng Mga Alerto"
"DASHBOARD","Dashboard"
"ANALYTICS","analitika"
"MORE","pa"
"WHATS_NEW","Anong bago"
"ACCOUNT","account"
"SUPPORT","tulong"
"LOGOUT","Logout"
"TODAY","ngayon"
"NEW_DASHBOARD","bagong Dashboard"
"BUSINESS_VIEW","View ng negosyo"
"OLD_DASHBOARD","Lumipat pabalik sa lumang dashboard"
"LIST","listahan"
"OVERALL","pangkalahatang"
"UNVERIFIED","hindi pa tiyak"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Bisitahin ang Pahina ng Pagsingil"
"PAY_NOW","Magbayad Ngayon"
"YOUR_TASSK_CREATED","Ang iyong gawain # 7548 ay nalikha na."
"REPEAT_THIS_TASK","Ulitin ang gawaing ito"
"DONUT_SMALL","donut_small"
"PERSON","tao"
"MORE_HORIZ","more_horiz"
"EXPLORE","galugarin"
"REDEEM","tubusin"
"EXIT_TO_APP","exit_to_app"
"BANNER","bandila"
"ANOTHER_OFFERING","Magdagdag ng isa pang Nag-aalok ng"
"MENU","menu"
"ALERT_SOUND","Alert Sound"
"FULL_SCREEN","Full Screen"
"ALERTS","Alerts"
"TRAIL_PERIOD","Panahon ng pagsubok"
"TASKS","Mga gawain"
"OPTIMIZE_ROUTE","I-optimize ang Route"
"TIME","oras"
"FILTER","Filter"
"DISTANCE","distansya"
"SELECT_UNASSIGNED","Piliin Unassigned gawain"
"TIME_RANGE","Saklaw ng oras"
"TO","sa"
"NO_TASK_MSG","Hindi mo na kailangang anumang gawain para sa mga napiling hanay ng oras"
"SELECT","piliin"
"MIN_TASK","Minimum Task Per"
"MAX_TASK","Maximum Task Per"
"MAX","pinakamataas"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Route Optimization Priority"
"START_LOCATION","Agent Panimulang Lokasyon"
"CURRENT_LOCATION","Kasalukuyang lokasyon"
"BUSINESS_LOCATION","Lokasyon ng negosyo"
"CUSTOM_LOCATION","Custom Lokasyon"
"SELECT_ALL","Piliin lahat"
"TASK","gawain"
"UNROUTED_TASK","unrouted Task"
"TASKS_NOT_ROUTED","gawain ay hindi routed"
"ROUTING","direksiyon"
"ROUTE_OPTIMIZATION_PARAMETERS","Piliin Parameter Route Optimization"
"OPTIMIZED_VIA","Ang ruta ay maaaring optimized sa pamamagitan ng"
"ENTER_CUSTOM_LOCATION","Ipasok Custom Lokasyon"
"TASK_DURATION","Ang Tagal ng isang gawain ay sa pamamagitan ng default katumbas ng 5 minuto, ngunit maaari itong customized gamit ang Custom Task Duration Option."
"DURATION_DEFAULT","Ang Tagal ng isang gawain ay sa pamamagitan ng default katumbas ng pagkakaiba sa pagitan ng oras ng pagtatapos at oras ng pagsisimula, ngunit maaari itong customized gamit ang Custom Task Duration Option."
"DEFAULT_5MINUTES","Task duration ay 5 minuto sa pamamagitan ng default"
"DURATION_DIFFERENCE","Task duration ay pagkakaiba sa pagitan ng simula at wakas na oras sa pamamagitan ng default."
"PER","sa"
"CONSIDER_PICKUP_DELIVERY_TIME","Isaalang-alang Pick-Up at Delivery Time"
"MINIMIZE_DRIVE_TIME","ahente ng I-minimize ang oras ng biyahe"
"DRIVE_ON_TIME_END","ahente ay dapat palaging dumating sa oras"
"WILL_BE_OPTIMIZE_TASK","gawain ay na-optimize sa loob ng oras ng pagtatapos limitasyon ngunit maaaring magresulta sa di-nakaatas na gawain"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","gawain ay na-optimize para sa buong araw kanikanilang mga gawain sa oras ng pagtatapos"
"custom_task_duration","Custom Task Tagal"
"MAX_task_per_fleet","MAXIMUM TASK PER Agent"
"routed_task","iruruta gawain"
