"key","value"
"PLACEHOLDER","ค้นหาแผนที่"
"TASK_LEFT","งานที่เหลืออยู่"
"TASKS_LEFT","เหลืองาน"
"DAY_LEFT","วันที่เหลืออยู่"
"DAYS_LEFT","วันเวลาที่เหลือ"
"ADD_NEW_TASK","เพิ่มใหม่"
"IMPORT_BULK_TASKS","นำเข้าจำนวนมาก"
"ALL_ALERTS","การแจ้งเตือนทั้งหมด"
"DASHBOARD","แผงควบคุม"
"ANALYTICS","Analytics"
"MORE","มากกว่า"
"WHATS_NEW","มีอะไรใหม่"
"ACCOUNT","บัญชี"
"SUPPORT","สนับสนุน"
"LOGOUT","ออกจากระบบ"
"TODAY","ในวันนี้"
"NEW_DASHBOARD","แดชบอร์ดใหม่"
"BUSINESS_VIEW","มุมมองทางธุรกิจ"
"OLD_DASHBOARD","สลับกลับไปแดชบอร์ดเก่า"
"LIST","รายการ"
"OVERALL","ทั้งหมด"
"UNVERIFIED","ไม่สอบ"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","หน้าการเรียกเก็บเงินเข้าเยี่ยมชม"
"PAY_NOW","จ่ายตอนนี้"
"YOUR_TASSK_CREATED","งาน # 7548 ของคุณได้รับการสร้างขึ้น"
"REPEAT_THIS_TASK","ทำซ้ำงานนี้"
"DONUT_SMALL","donut_small"
"PERSON","คน"
"MORE_HORIZ","more_horiz"
"EXPLORE","สำรวจ"
"REDEEM","ไถ่ถอน"
"EXIT_TO_APP","exit_to_app"
"BANNER","ธง"
"ANOTHER_OFFERING","เพิ่มการเสนอขายอีก"
"MENU","เมนู"
"ALERT_SOUND","เสียงเตือน"
"FULL_SCREEN","เต็มจอ"
"ALERTS","การแจ้งเตือน"
"TRAIL_PERIOD","ระยะเวลาทดลองใช้"
"TASKS","งาน"
"OPTIMIZE_ROUTE","เพิ่มประสิทธิภาพเส้นทาง"
"TIME","เวลา"
"FILTER","กรอง"
"DISTANCE","ระยะทาง"
"SELECT_UNASSIGNED","เลือกงานไม่ได้มอบหมาย"
"TIME_RANGE","ระยะเวลา"
"TO","ไปยัง"
"NO_TASK_MSG","คุณไม่ได้มีงานใด ๆ สำหรับช่วงเวลาที่เลือก"
"SELECT","เลือก"
"MIN_TASK","ขั้นต่ำต่องาน"
"MAX_TASK","ต่องานสูงสุด"
"MAX","สูงสุด"
"MIN","นาที"
"ROUTE_OPTIMIZATION_PRIORITY","เส้นทางการเพิ่มประสิทธิภาพการจัดลำดับความสำคัญ"
"START_LOCATION","ตัวแทนตำแหน่งเริ่มต้น"
"CURRENT_LOCATION","สถานที่ปัจจุบัน"
"BUSINESS_LOCATION","สถานที่ตั้งธุรกิจ"
"CUSTOM_LOCATION","สถานที่ที่กำหนด"
"SELECT_ALL","เลือกทั้งหมด"
"TASK","งาน"
"UNROUTED_TASK","Unrouted งาน"
"TASKS_NOT_ROUTED","งานที่ไม่ได้ถูกส่งไป"
"ROUTING","สายงานการผลิต"
"ROUTE_OPTIMIZATION_PARAMETERS","เลือกพารามิเตอร์เส้นทางการเพิ่มประสิทธิภาพ"
"OPTIMIZED_VIA","เส้นทางที่สามารถเพิ่มประสิทธิภาพผ่าน"
"ENTER_CUSTOM_LOCATION","ใส่สถานที่ที่กำหนดเอง"
"TASK_DURATION","ระยะเวลาของงานเป็นค่าเริ่มต้นเท่ากับ 5 นาที แต่ก็สามารถปรับแต่งโดยใช้ตัวเลือกระยะเวลางานแบบกำหนดเอง"
"DURATION_DEFAULT","ระยะเวลาของงานเป็นค่าเริ่มต้นเท่ากับความแตกต่างระหว่างเวลาสิ้นสุดและเวลาเริ่มต้น แต่ก็สามารถปรับแต่งโดยใช้ตัวเลือกระยะเวลางานแบบกำหนดเอง"
"DEFAULT_5MINUTES","ระยะเวลางานเป็นเวลา 5 นาทีโดยค่าเริ่มต้น"
"DURATION_DIFFERENCE","ระยะเวลางานคือความแตกต่างระหว่างการเริ่มต้นและเวลาสิ้นสุดโดยค่าเริ่มต้น"
"PER","ต่อ"
"CONSIDER_PICKUP_DELIVERY_TIME","พิจารณา Pick-Up และเวลาการจัดส่งสินค้า"
"MINIMIZE_DRIVE_TIME","ตัวแทนลดเวลาในไดรฟ์"
"DRIVE_ON_TIME_END","ตัวแทนควรมาถึงในเวลา"
"WILL_BE_OPTIMIZE_TASK","งานจะถูกปรับในข้อ จำกัด เวลาสิ้นสุด แต่อาจส่งผลงานที่ยังไม่ได้กำหนด"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","งานที่จะได้รับการปรับให้เหมาะสมตลอดทั้งวันโดยไม่คำนึงถึงเวลาสิ้นสุดงาน"
"custom_task_duration","งานแบบกำหนดเองระยะเวลา"
"MAX_task_per_fleet","สูงสุด Agent งาน PER"
"routed_task","งานกำหนดเส้นทาง"
"ASSIGN_AGENTS","ตัวแทนกำหนด"
"SELECT_TEAM","เลือกทีม"
"SUBMIT","เสนอ"
"DETAILS","รายละเอียด"
"ADDRESS","ที่อยู่"
"CUSTOMER_NAME","ชื่อลูกค้า"
"CUSTOMER_PHONE","โทรศัพท์ลูกค้า"
"TASK_ID","งาน ID"
"TASK_DETAILS","รายละเอียดงาน"
"TASK_TYPE","ประเภทงาน"
"DESCRIPTION","ลักษณะ"
"TASK_STATUS","สถานะงาน"
"CUSTOMER_DETAILS","รายละเอียดของลูกค้า"
"COMPLETE_TIME","เวลาที่สมบูรณ์แบบ"
"THIS","นี้"
"DELETED","ที่ถูกลบ"
"ADD_AGENT","เพิ่มตัวแทน"
"LAST_NAME","นามสกุล"
"PHONE","โทรศัพท์"
"ASSIGN","กำหนด"
"SCHEDULE_PERMISSIONS","สิทธิ์ในการจัดตารางเวลาให้กับตัวแทน"
"CONTACT","ติดต่อ"
"NAME","คุณชื่ออะไร"
"TIMELINE","ไทม์ไลน์"
"NO_TIMELINE","ไม่มีระยะเวลาที่พร้อมใช้งานสำหรับวันที่"
"NOT_UPDATED","ยังไม่อัพเดท"
"LAST_STOPPAGE_TIME","ช่วงทดเวลาเจ็บล่าสุด"
"LAST_MOVING_TIME","ล่าสุดเวลาการย้าย"
"AGENTS","ตัวแทนการค้นหา"
"STATUS","สถานะ"
"TASK_DESCRIPTION","รายละเอียดงาน"
"CUSTOM_FIELDS","กำหนดเอง"
"REFERENCE_IMAGE","อ้างอิงภาพ"
"ACTIVITY_TIMELINE","ระยะเวลากิจกรรม"
"PATH_HISTORY","ประวัติเส้นทาง"
"START_BEFORE","เริ่มต้นก่อน"
"COMPLETE_BEFORE","เสร็จสมบูรณ์ก่อน"
"CUSTOMER","ลูกค้า"
"TOTAL_TIME_TAKEN","รวมเวลาที่ถ่าย"
"DISTANCE_TRAVELLED","ระยะทางที่เดินทาง"
"REASSIGN","กำหนดใหม่"
"EDIT_TASKS","แก้ไขงาน"
"DUPLICATE_TASKS","ซ้ำงาน"
"CHANGE_STATUS","เปลี่ยนสถานะ"
"DELETE_TASKS","ลบงาน"
"Export_Tasks","ส่งออกงาน"
"CUSTOMER_RATING","คะแนนโหวต"
"TASK_DETAIL","รายละเอียด"
"HISTORY","ประวัติศาสตร์"
"CONNECTED_TASKS","งานที่เกี่ยวโยงกัน"
"TRACKING_LINK","การเชื่อมโยงการติดตาม"
"CLICK_TO_TRACK","คลิกที่นี่เพื่อติดตาม"
"PENDING","รอดำเนินการ"
"COMPLETED","เสร็จ"
"CANCELLED","ยกเลิก"
"NO_TASKS","ไม่มีงานที่ใช้ได้สำหรับวันที่"
"TEAM","ทีม"
"SEEN","เห็น"
"UNSEEN","ไม่มีใครเห็น"
"SEARCH_FLEET","ค้นหา"
"FLEET_RIGHT_2_TEXT_1","ทั้งหมด"
"FLEET_TEAM","ทีม"
"FLEET_NAME","ชื่อตัวแทน"
"FLEET_ID","หมายเลขตัวแทน"
"FLEET_EMAIL","อีเมล์"
"FLEET_TAGS","แท็ก"
"PERMISSIONS","สิทธิ์"
"ACTIVATE","กระตุ้น"
"MANAGER_RIGHT_2_CLICK_HERE","คลิกที่นี่"
"SCHEDULE","ตารางเวลาสำหรับบัญชีของคุณ"
"CONTROL","ควบคุม"
"MANAGER","ผู้จัดการ"
"SUB_HEADER","ตั้งเวลาทำงานเริ่มต้นสำหรับตัวแทนของคุณ"
"SUB_HEADER_2","กำหนดสิทธิ์การเข้าถึงสำหรับ Manager ของคุณ"
"MANAGER_RIGHT_1","ผู้จัดการไม่สามารถเข้าถึง"
"MANAGER_RIGHT_2","ผู้จัดการที่สามารถดูและแก้ไข"
"MANAGER_RIGHT_2_TEXT_1","ผู้จัดการทุกคนสามารถเข้าถึงได้โดยเริ่มต้นที่"
"MANAGER_RIGHT_2_TEXT_2","เปลี่ยนการตั้งค่านี้"
"SUB_HEADER_3","กำหนดสิทธิ์การเข้าถึงสำหรับคุณ"
"FLEET_RIGHT_1","ไม่สามารถเข้าถึง"
"FLEET_RIGHT_2","สามารถดูและแก้ไข"
"FLEET_RIGHT_2_TEXT_2","สามารถเข้าถึงได้โดยเริ่มต้นที่"
"FLEET_RIGHT_2_TEXT_3","เปลี่ยนการตั้งค่านี้"
"UPDATE_MANAGER_PERMISSIONS","สิทธิ์ในการปรับปรุงผู้จัดการ"
"SET_MANAGER_RIGHTS","ตั้งดูและแก้ไขสิทธิ Manager ของคุณ"
"SEARCH_MANAGER","ค้นหาผู้จัดการ"
"MANGER_NAME","ชื่อผู้จัดการ"
"MANGER_EMAIL","อีเมล์ผู้จัดการ"
"MANGER_TEAM","ผู้จัดการทีม"
"MANAGER_ID","ID"
"SEARCH_TEAM","ค้นหาทีม"
"CANCEL_FILTERS","ยกเลิกตัวกรอง"
"SET_FLEET_RIGHTS","ตั้งดูและแก้ไขสิทธิของคุณ"
"SEARCH_TAG","ค้นหาแท็ก"
"STEP","ขั้นตอน"
"OF","ของ"
"VIEW_ONLY","สำหรับดูเท่านั้น"
"VIEW&EDIT","ดูและแก้ไข"
"SEARCH_MANAGER_PLACEHOLDER","ชื่อผู้จัดการ"
"CUSTOM_RIGHT_AGENT","คุณได้กำหนดให้สิทธิที่กำหนดเองสำหรับทุก"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","ค้นหาลูกค้า"
"IMPORT_CSV","นำเข้า CSV"
"SELECT_FILE","เลือกไฟล์"
"IMPORT_CUSTOMERS","นำเข้าลูกค้า"
"CLICK_HERE_TEXT","ดาวน์โหลดไฟล์ CSV แม่แบบที่มีค่าตัวอย่างสำหรับการนำเข้าข้อมูลของลูกค้า"
"DRAG_DROP","Drag & Drop ไฟล์ CSV"
"GET_IN_TOUCH","ได้รับการติดต่อ"
"SELECT_TEMPLATE","เลือกแม่แบบ"
"CREATE_TASK_VIA_CSV","สร้างงานผ่าน CSV"
"DOWNLOAD_SAMPLE_FILE","ดาวน์โหลดไฟล์ตัวอย่าง"
"HAVE_CUSTOM_FILE","Tenha um arquivo personalizado?"
"SELECT_CUSTOM_FIELD","เลือกแม่แบบฟิลด์ที่กำหนดเอง"
"REMOVE_TEMPLATE","นำแม่แบบ"
"DROP_FILE","วางไฟล์แนบหรือ"
"BROWSE","เรียกดู"
"CSV_UPLOAD","CSV รายงานอัปโหลด"
"REASON","เหตุผล"
"UPLOAD_STATUS","สถานะการอัปโหลด"
"SUCCESS","ความสำเร็จ"
"FAILED","ล้มเหลว"
"DELIVERY","การจัดส่งสินค้า"
"PICK_UP","รถกระบะ"
"CSV","ผ่าน CSV"
"CREATE","สร้าง"
"PICKUP","รถกระบะ"
