"key","value"
"PLACEHOLDER","carian Peta"
"TASK_LEFT","Task Baki"
"TASKS_LEFT","tugas meninggalkan"
"DAY_LEFT","hari Baki"
"DAYS_LEFT","Sisa hari"
"ADD_NEW_TASK","Tambah baru"
"IMPORT_BULK_TASKS","Import Bulk"
"ALL_ALERTS","semua Makluman"
"DASHBOARD","Dashboard"
"ANALYTICS","Analytics"
"MORE","lebih"
"WHATS_NEW","Apa yang Baru"
"ACCOUNT","akaun"
"SUPPORT","sokongan"
"LOGOUT","Log keluar"
"TODAY","hari ini"
"NEW_DASHBOARD","Dashboard baru"
"BUSINESS_VIEW","Business View"
"OLD_DASHBOARD","Tukar kembali ke papan pemuka yang lalu"
"LIST","senarai"
"OVERALL","keseluruhan"
"UNVERIFIED","tidak disahkan"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Lawatan Billing Page"
"PAY_NOW","Bayar sekarang"
"YOUR_TASSK_CREATED","Tugas anda # 7548 telah dibuat."
"REPEAT_THIS_TASK","Mengulangi tugas ini"
"DONUT_SMALL","donut_small"
"PERSON","orang"
"MORE_HORIZ","more_horiz"
"EXPLORE","meneroka"
"REDEEM","menebus"
"EXIT_TO_APP","exit_to_app"
"BANNER","banner"
"ANOTHER_OFFERING","Menambah Menawarkan lagi"
"MENU","menu"
"ALERT_SOUND","Alert Bunyi"
"FULL_SCREEN","Skrin penuh"
"ALERTS","Peringatan"
"TRAIL_PERIOD","Tempoh percubaan"
"TASKS","tugas"
"OPTIMIZE_ROUTE","mengoptimumkan Route"
"TIME","Masa"
"FILTER","penapis"
"DISTANCE","Jarak"
"SELECT_UNASSIGNED","Pilih tugas-tugas Ketua"
"TIME_RANGE","Julat masa"
"TO","kepada"
"NO_TASK_MSG","Anda tidak mempunyai apa-apa tugas untuk julat masa dipilih"
"SELECT","pilih"
"MIN_TASK","Minimum Task Per"
"MAX_TASK","Maksimum Task Per"
"MAX","maksimum"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Route Optimization Priority"
"START_LOCATION","Agent Mula Lokasi"
"CURRENT_LOCATION","Lokasi sekarang"
"BUSINESS_LOCATION","Lokasi Perniagaan"
"CUSTOM_LOCATION","Custom Lokasi"
"SELECT_ALL","Pilih semua"
"TASK","Task"
"UNROUTED_TASK","Unrouted Task"
"TASKS_NOT_ROUTED","tugas-tugas tidak dihalakan"
"ROUTING","routing"
"ROUTE_OPTIMIZATION_PARAMETERS","Pilih Parameter Route Optimization"
"OPTIMIZED_VIA","Laluan boleh dioptimumkan melalui"
"ENTER_CUSTOM_LOCATION","Masukkan Custom Lokasi"
"TASK_DURATION","Jangka masa tugas adalah secara lalai sama dengan 5 minit, tetapi ia boleh disesuaikan menggunakan Custom Task Tempoh Opsyen."
"DURATION_DEFAULT","Jangka masa tugas adalah secara lalai bersamaan dengan perbezaan antara masa akhir dan masa mula, tetapi ia boleh disesuaikan menggunakan Custom Task Tempoh Opsyen."
"DEFAULT_5MINUTES","Tempoh tugas adalah 5 minit dengan lalai"
"DURATION_DIFFERENCE","Tempoh tugas adalah perbezaan antara permulaan dan akhir masa secara lalai."
"PER","setiap"
"CONSIDER_PICKUP_DELIVERY_TIME","Pertimbangkan Pick-Up dan Masa penghantaran"
"MINIMIZE_DRIVE_TIME","ejen Kurangkan masa drive"
"DRIVE_ON_TIME_END","Ejen itu perlu sentiasa tiba tepat pada masanya"
"WILL_BE_OPTIMIZE_TASK","tugas akan dioptimumkan dalam jangka waktu yang akhir tetapi boleh menyebabkan tugas ditugaskan"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","tugas akan dioptimumkan untuk sepanjang hari tanpa mengira tugas akhir zaman"
"custom_task_duration","Custom Task Tempoh"
"MAX_task_per_fleet","TASK MAKSIMUM PER Agent"
"routed_task","tugas dihalakan"
"ASSIGN_AGENTS","Berikan Agents"
"SELECT_TEAM","Pilih pasukan"
"SUBMIT","hantar"
"DETAILS","Maklumat"
"ADDRESS","alamat"
"CUSTOMER_NAME","Nama Pelanggan"
"CUSTOMER_PHONE","Telefon Pelanggan"
"TASK_ID","tugas ID"
"TASK_DETAILS","Butiran tugas"
"TASK_TYPE","tugas Jenis"
"DESCRIPTION","Penerangan"
"TASK_STATUS","Task Status"
"CUSTOMER_DETAILS","butiran pelanggan"
"COMPLETE_TIME","Masa lengkap"
"THIS","ini"
"DELETED","dipadam"
"ADD_AGENT","menambah Agent"
"LAST_NAME","Nama terakhir"
"PHONE","telefon"
"ASSIGN","Berikan"
"SCHEDULE_PERMISSIONS","Jadual Kebenaran kepada ejen"
"CONTACT","Hubungi"
"NAME","Apa nama anda"
"TIMELINE","garis masa"
"NO_TIMELINE","Tiada had masa yang ada untuk hari tersebut"
"NOT_UPDATED","tidak dikemas kini"
"LAST_STOPPAGE_TIME","Masa Pemberhentian lalu"
"LAST_MOVING_TIME","Last Time Moving"
"AGENTS","Cari Agents"
"STATUS","status"
"TASK_DESCRIPTION","Penerangan tugas"
"CUSTOM_FIELDS","Custom"
"REFERENCE_IMAGE","Imej rujukan"
"ACTIVITY_TIMELINE","Timeline aktiviti"
"PATH_HISTORY","Sejarah Path"
"START_BEFORE","mula Sebelum"
"COMPLETE_BEFORE","lengkap Sebelum"
"CUSTOMER","pelanggan"
"TOTAL_TIME_TAKEN","Jumlah Masa Diambil"
"DISTANCE_TRAVELLED","jarak yang dilalui"
"REASSIGN","menyerahhakkan semula"
"EDIT_TASKS","Edit Task"
"DUPLICATE_TASKS","Duplicate Task"
"CHANGE_STATUS","Tukar Status"
"DELETE_TASKS","memadam Task"
"Export_Tasks","Eksport Tugas"
"CUSTOMER_RATING","Rating Pelanggan"
"TASK_DETAIL","Maklumat"
"HISTORY","Sejarah"
"CONNECTED_TASKS","Tugas berhubung"
"TRACKING_LINK","Tracking Link"
"CLICK_TO_TRACK","Klik di sini untuk mengesan"
"PENDING","Yang belum selesai"
"COMPLETED","Bidang"
"CANCELLED","Dibatalkan"
"NO_TASKS","Ada tugas yang disediakan untuk hari"
"TEAM","pasukan"
"SEEN","dilihat"
"UNSEEN","ghaib"
"SEARCH_FLEET","carian"
"FLEET_RIGHT_2_TEXT_1","Semua"
"FLEET_TEAM","Pasukan"
"FLEET_NAME","Nama ejen"
"FLEET_ID","Id Agent"
"FLEET_EMAIL","e-mel"
"FLEET_TAGS","Tags"
"PERMISSIONS","kebenaran"
"ACTIVATE","Aktifkan"
"MANAGER_RIGHT_2_CLICK_HERE","Tekan di sini"
"SCHEDULE","Jadual untuk akaun anda."
"CONTROL","kawalan"
"MANAGER","pengurus"
"SUB_HEADER","Tetapkan Lalai Waktu Bekerja untuk ejen anda"
"SUB_HEADER_2","Menetapkan Hak Akses bagi pengurus anda"
"MANAGER_RIGHT_1","Pengurus tidak boleh mengakses"
"MANAGER_RIGHT_2","Pengurus boleh melihat & mengedit"
"MANAGER_RIGHT_2_TEXT_1","Semua Pengurus boleh mengakses secara lalai."
"MANAGER_RIGHT_2_TEXT_2","untuk menukar tetapan ini."
"SUB_HEADER_3","Menetapkan Hak Akses bagi anda"
"FLEET_RIGHT_1","tidak boleh mengakses"
"FLEET_RIGHT_2","boleh melihat & mengedit"
"FLEET_RIGHT_2_TEXT_2","boleh mengakses secara lalai."
"FLEET_RIGHT_2_TEXT_3","untuk menukar tetapan ini."
"UPDATE_MANAGER_PERMISSIONS","Kebenaran Update Manager"
"SET_MANAGER_RIGHTS","Set View & Edit Hak untuk Pengurus anda"
"SEARCH_MANAGER","carian Manager"
"MANGER_NAME","Jurulatih Nama"
"MANGER_EMAIL","pengurus E-mel"
"MANGER_TEAM","pengurus Pasukan"
"MANAGER_ID","ID"
"SEARCH_TEAM","carian pasukan"
"CANCEL_FILTERS","membatalkan Penapis"
"SET_FLEET_RIGHTS","Set View & Edit Hak untuk anda"
"SEARCH_TAG","carian tag"
"STEP","langkah"
"OF","daripada"
"VIEW_ONLY","Lihat Sahaja"
"VIEW&EDIT","Lihat & EDIT"
"SEARCH_MANAGER_PLACEHOLDER","Jurulatih Nama"
"CUSTOM_RIGHT_AGENT","Anda telah menetapkan hak-hak adat bagi tiap-tiap"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","Cari Pelanggan"
"IMPORT_CSV","import CSV"
"SELECT_FILE","Pilih fail"
"IMPORT_CUSTOMERS","import Pelanggan"
"CLICK_HERE_TEXT","untuk memuat turun CSV template fail dengan nilai-nilai sampel untuk import data pelanggan"
"DRAG_DROP","Drag & Drop CSV Fail"
"GET_IN_TOUCH","Dapatkan di Touch"
"SELECT_TEMPLATE","Pilih Template"
"CREATE_TASK_VIA_CSV","Buat Tugas melalui CSV"
"DOWNLOAD_SAMPLE_FILE","Muat turun Contoh Fail"
"HAVE_CUSTOM_FILE","Mempunyai Fail Custom?"
"SELECT_CUSTOM_FIELD","Pilih Custom Field Template"
"REMOVE_TEMPLATE","Buang Template"
"DROP_FILE","Lepaskan fail untuk melampirkan, atau"
"BROWSE","Semak imbas"
"CSV_UPLOAD","CSV naik Laporan"
"REASON","Sebab"
"UPLOAD_STATUS","Naik Status"
"SUCCESS","kejayaan"
"FAILED","gagal"
"DELIVERY","penghantaran"
"PICK_UP","Pickup"
"CSV","melalui CSV"
"CREATE","Buat"
"PICKUP","Pickup"
"APP_ADD_REQ","alamat pelantikan diperlukan"
"ENSURE_FIELDS_BEFORE_UPLOAD","Sila pastikan bahawa Medan tajuk dalam sampel CSV tidak diubah suai sebelum memuat naik."
"FOR","untuk"
"HEADING","Persediaan akaun"
"NEW_TASK","Tugasan baru"
"AUTO_ASSIGN","Auto Berikan"
"SELECT_AGENTS","Pilih Agents"
"HELP_TEXT_1","Anda tidak mempunyai aktif"
"CHANGE_TASK_STATUS","Tukar status tugas"
"SELECT_A_TEAM","Pilih pasukan sebelum mengoptimumkan laluan"
"HELP_TEXT_2","Untuk menambah"
"SELECT_DELIVERY_OPTIONS","Pilih pilihan penghantaran untuk melihat bidang"
"SELECT_PICKUP_OPTIONS","Pilih mengambil pilihan untuk melihat bidang"
"LATITUDE","Latitud"
"LONGITUDE","longitud"
"DELIVERY_ADDRESS","Alamat penghantaran"
"TIMINGS","pengaturan masa"
"PICKUP_TIME","masa pickup"
"GREATER_TIME","Masa harus lebih besar daripada masa semasa"
"DELIVERY_TIME","Masa penghantaran"
"START_TIME","Masa mula"
"END_TIME","Masa tamat"
"ENT_TIME_GREATER","Masa tamat harus lebih besar daripada Start masa"
"CLIENT","pelanggan"
"REFERENCE_IMAGES","rujukan Images"
"ENABLE","membolehkan"
"LABEL","label"
"VALUE","Nilai Field"
"ACTION","Tindakan"
"ADD_ROW","Tambah baris"
"BUSSINESS_NAME","Nama Perniagaan"
"MERCHANT_CONTACT","Merchant Hubungi"
"PICKUP_POINT","Pickup Point"
"START_WITH","Bermula dengan"
"LOCATION","lokasi"
"ADD_CUSTOM_FIELDS","Tambah Custom Fields"
