"key","value"
"PLACEHOLDER","tafuta Map"
"TASK_LEFT","Task Iliyobaki"
"TASKS_LEFT","kazi kushoto"
"DAY_LEFT","siku Iliyobaki"
"DAYS_LEFT","siku Iliyobaki"
"ADD_NEW_TASK","Kuongeza New"
"IMPORT_BULK_TASKS","Bulk Import"
"ALL_ALERTS","Tahadhari zote"
"DASHBOARD","Dashboard"
"ANALYTICS","Analytics"
"MORE","zaidi"
"WHATS_NEW","Nini mpya"
"ACCOUNT","akaunti"
"SUPPORT","Support"
"LOGOUT","logout"
"TODAY","leo"
"NEW_DASHBOARD","Dashboard New"
"BUSINESS_VIEW","Taswira ya Biashara"
"OLD_DASHBOARD","Kurudi kwenye dashibodi ya zamani"
"LIST","orodha"
"OVERALL","Kwa ujumla"
"UNVERIFIED","haijathibitishwa"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Tembelea Billing Ukurasa"
"PAY_NOW","LIPA sasa"
"YOUR_TASSK_CREATED","kazi yako # 7548 imeundwa."
"REPEAT_THIS_TASK","Rudia kazi hii"
"DONUT_SMALL","donut_small"
"PERSON","mtu"
"MORE_HORIZ","more_horiz"
"EXPLORE","kuchunguza"
"REDEEM","kuwakomboa"
"EXIT_TO_APP","exit_to_app"
"BANNER","Banner"
"ANOTHER_OFFERING","Kuongeza Sadaka nyingine"
"MENU","orodha"
"ALERT_SOUND","Alert Mitindo ya"
"FULL_SCREEN","Screen Kamili"
"ALERTS","Tahadhari"
"TRAIL_PERIOD","kesi Period"
"TASKS","Kazi"
"OPTIMIZE_ROUTE","kuongeza Route"
"TIME","muda"
"FILTER","filter"
"DISTANCE","umbali"
"SELECT_UNASSIGNED","Kuchagua kazi Haijatolewa"
"TIME_RANGE","muda Mbalimbali"
"TO","kwa"
"NO_TASK_MSG","Huwezi kuwa kazi yoyote kwa kuchaguliwa wakati mbalimbali"
"SELECT","Kuchagua"
"MIN_TASK","Kiwango cha chini Task Per"
"MAX_TASK","Upeo Task Per"
"MAX","upeo"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Route Optimization kipaumbele"
"START_LOCATION","Agent Start Location"
"CURRENT_LOCATION","sasa Location"
"BUSINESS_LOCATION","Business Mahali"
"CUSTOM_LOCATION","desturi Mahali"
"SELECT_ALL","chagua zote"
"TASK","Task"
"UNROUTED_TASK","Unrouted Task"
"TASKS_NOT_ROUTED","kazi walikuwa si kupelekwa"
"ROUTING","routing"
"ROUTE_OPTIMIZATION_PARAMETERS","Kuchagua Route Optimization Vigezo"
"OPTIMIZED_VIA","njia inaweza kuwa optimized kupitia"
"ENTER_CUSTOM_LOCATION","Kuingia Desturi Mahali"
"TASK_DURATION","Muda wa kazi ni kama chaguo-msingi sawa na dakika 5, lakini inaweza umeboreshwa kwa kutumia desturi Task Muda chaguo."
"DURATION_DEFAULT","Muda wa kazi ni kama chaguo-msingi sawa na tofauti kati ya mwisho na muda wa kuanza, lakini inaweza umeboreshwa kwa kutumia desturi Task Muda chaguo."
"DEFAULT_5MINUTES","Task muda ni dakika 5 kwa chaguo-msingi"
"DURATION_DIFFERENCE","Task muda ni tofauti kati ya kuanza na mwisho kwa chaguo msingi."
"PER","kwa"
"CONSIDER_PICKUP_DELIVERY_TIME","Fikiria Pick-Up na utoaji Time"
"MINIMIZE_DRIVE_TIME","wakala Punguza gari wakati"
"DRIVE_ON_TIME_END","wakala lazima iwe kufika kwa wakati"
"WILL_BE_OPTIMIZE_TASK","Kazi yataboreshwa ndani ya vikwazo mwisho lakini huweza kusababisha kazi haijatolewa"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","kazi itakuwa optimized kwa ajili ya siku nzima bila kujali kazi mwisho"
"custom_task_duration","Custom Task Muda"
"MAX_task_per_fleet","MAXIMUM TASK PER Agent"
"routed_task","kazi kupelekwa"
"ASSIGN_AGENTS","hawawajui Agents"
"SELECT_TEAM","Select Team"
"SUBMIT","kuwasilisha"
"DETAILS","Maelezo"
"ADDRESS","Anuani"
"CUSTOMER_NAME","Jina Wateja"
