"key","value"
"PLACEHOLDER","Tìm kiếm Bản đồ"
"TASK_LEFT","nhiệm vụ còn lại"
"TASKS_LEFT","nhiệm vụ còn lại"
"DAY_LEFT","ngày còn lại"
"DAYS_LEFT","những ngày còn lai"
"ADD_NEW_TASK","Thêm mới"
"IMPORT_BULK_TASKS","Nhập khẩu số lượng lớn"
"ALL_ALERTS","Tất cả Cảnh báo"
"DASHBOARD","bảng điều khiển"
"ANALYTICS","phân tích"
"MORE","Hơn"
"WHATS_NEW","Có gì mới"
"ACCOUNT","Tài khoản"
"SUPPORT","Ủng hộ"
"LOGOUT","Đăng xuất"
"TODAY","hôm nay"
"NEW_DASHBOARD","Bảng điều khiển mới"
"BUSINESS_VIEW","Business View"
"OLD_DASHBOARD","Chuyển về bảng điều khiển cũ"
"LIST","Danh sách"
"OVERALL","Nhìn chung"
"UNVERIFIED","chưa được xác minh"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Thăm Thanh toán Trang"
"PAY_NOW","Thanh toán ngay"
"YOUR_TASSK_CREATED","Nhiệm vụ của bạn # 7548 đã được tạo."
"REPEAT_THIS_TASK","Lặp lại nhiệm vụ này"
"DONUT_SMALL","donut_small"
"PERSON","người"
"MORE_HORIZ","more_horiz"
"EXPLORE","khám phá"
"REDEEM","chuộc lại"
"EXIT_TO_APP","exit_to_app"
"BANNER","cờ"
"ANOTHER_OFFERING","Thêm Cung cấp Một"
"MENU","Thực đơn"
"ALERT_SOUND","Alert Sound"
"FULL_SCREEN","Toàn màn hình"
"ALERTS","Đại diện thực"
"TRAIL_PERIOD","Giai đoạn thử nghiệm"
"TASKS","Nhiệm vụ"
"OPTIMIZE_ROUTE","Tối ưu hóa đường"
"TIME","Thời gian"
"FILTER","Lọc"
"DISTANCE","Khoảng cách"
"SELECT_UNASSIGNED","Chọn nhiệm vụ Unassigned"
"TIME_RANGE","Time Range"
"TO","đến"
"NO_TASK_MSG","Bạn không có bất kỳ nhiệm vụ cho khoảng thời gian đã chọn"
"SELECT","Lựa chọn"
"MIN_TASK","Tối thiểu mỗi nhiệm vụ"
"MAX_TASK","Nhiệm vụ mỗi tối đa"
"MAX","tối đa"
"MIN","phút"
"ROUTE_OPTIMIZATION_PRIORITY","Route Tối ưu hóa ưu tiên"
"START_LOCATION","Agent Bắt đầu Location"
"CURRENT_LOCATION","Vị trí hiện tại"
"BUSINESS_LOCATION","Địa điểm kinh doanh"
"CUSTOM_LOCATION","Địa điểm tùy chỉnh"
"SELECT_ALL","Chọn tất cả"
"TASK","Bài tập"
"UNROUTED_TASK","Unrouted công tác"
"TASKS_NOT_ROUTED","nhiệm vụ đã không được định tuyến"
"ROUTING","định tuyến"
"ROUTE_OPTIMIZATION_PARAMETERS","Chọn thông số Route Tối ưu hóa"
"OPTIMIZED_VIA","Các tuyến đường có thể được tối ưu hóa thông qua"
"ENTER_CUSTOM_LOCATION","Nhập Địa điểm tùy chỉnh"
"TASK_DURATION","Các Thời gian một nhiệm vụ là theo mặc định bằng 5 phút, nhưng nó có thể tùy chỉnh bằng cách sử dụng Thời gian tùy chọn Custom Task."
