"key","value"
"PLACEHOLDER","zoeken Kaart"
"TASK_LEFT","Task Resterende"
"TASKS_LEFT","task links"
"DAY_LEFT","dag van de Rest"
"DAYS_LEFT","Resterende dagen"
"ADD_NEW_TASK","Nieuwe toevoegen"
"IMPORT_BULK_TASKS","bulk Import"
"ALL_ALERTS","alle waarschuwingen"
"DASHBOARD","Dashboard"
"ANALYTICS","analytics"
"MORE","Meer"
"WHATS_NEW","Wat is er nieuw"
"ACCOUNT","Account"
"SUPPORT","Ondersteuning"
"LOGOUT","Uitloggen"
"TODAY","vandaag"
"NEW_DASHBOARD","nieuwe Dashboard"
"BUSINESS_VIEW","Business View"
"OLD_DASHBOARD","Schakel terug naar oude dashboard"
"LIST","Lijst"
"OVERALL","globaal"
"UNVERIFIED","geverifieerde"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Bezoek Billing Pagina"
"PAY_NOW","Nu betalen"
"YOUR_TASSK_CREATED","Uw taak # 7548 is gemaakt."
"REPEAT_THIS_TASK","Herhaal deze taak"
"DONUT_SMALL","donut_small"
"PERSON","persoon"
"MORE_HORIZ","more_horiz"
"EXPLORE","onderzoeken"
"REDEEM","verlossen"
"EXIT_TO_APP","exit_to_app"
"BANNER","banier"
"ANOTHER_OFFERING","Voeg andere Offering"
"MENU","Menu"
"ALERT_SOUND","alert Sound"
"FULL_SCREEN","Volledig scherm"
"ALERTS","alerts"
"TRAIL_PERIOD","Proefperiode"
"TASKS","taken"
"OPTIMIZE_ROUTE","Optimaliseer Route"
"TIME","Tijd"
"FILTER","Filter"
"DISTANCE","Afstand"
"SELECT_UNASSIGNED","Selecteer Niet-toegewezen taken"
"TIME_RANGE","Tijdsbestek"
"TO","naar"
"NO_TASK_MSG","Je hebt geen taak voor de geselecteerde tijdbereik hebben"
"SELECT","kiezen"
"MIN_TASK","Minimum Task Per"
"MAX_TASK","Maximum Task Per"
"MAX","maximaal"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Route Optimization Priority"
"START_LOCATION","Agent Startlocatie"
"CURRENT_LOCATION","Huidige locatie"
"BUSINESS_LOCATION","Bedrijfslocatie"
"CUSTOM_LOCATION","Aangepaste locatie"
"SELECT_ALL","Selecteer alles"
"TASK","Taak"
"UNROUTED_TASK","unrouted Task"
"TASKS_NOT_ROUTED","taken werden niet gerouteerd"
"ROUTING","routing"
"ROUTE_OPTIMIZATION_PARAMETERS","Selecteer Route Optimalisatie Parameters"
"OPTIMIZED_VIA","De routes kunnen worden geoptimaliseerd via"
"ENTER_CUSTOM_LOCATION","Voer Aangepaste locatie"
"TASK_DURATION","De duur van een taak is standaard gelijk aan 5 minuten, maar het kan aangepast met behulp van de Custom Task Duur Option."
"DURATION_DEFAULT","De duur van een taak is standaard gelijk aan verschil tussen de eindtijd en de starttijd, maar het kan aangepast met behulp van de Custom Task Duur Option."
"DEFAULT_5MINUTES","Taakduur ligt op 5 minuten standaard"
"DURATION_DIFFERENCE","Taakduur is het verschil tussen de begin- en eindtijd standaard."
"PER","per"
