"key","value"
"PLACEHOLDER","検索地図"
"TASK_LEFT","タスクが残り"
"TASKS_LEFT","タスクの左側"
"DAY_LEFT","残り日"
"DAYS_LEFT","残存日数"
"ADD_NEW_TASK","新しく追加する"
"IMPORT_BULK_TASKS","一括インポート"
"ALL_ALERTS","すべてのアラート"
"DASHBOARD","ダッシュボード"
"ANALYTICS","分析論"
"MORE","もっと"
"WHATS_NEW","新着情報"
"ACCOUNT","アカウント"
"SUPPORT","サポート"
"LOGOUT","ログアウト"
"TODAY","今日"
"NEW_DASHBOARD","新しいダッシュボード"
"BUSINESS_VIEW","ビジネスビュー"
"OLD_DASHBOARD","古いダッシュボードに切り替え"
"LIST","リスト"
"OVERALL","全体"
"UNVERIFIED","未確認"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","課金ページをご覧ください"
"PAY_NOW","今払う"
"YOUR_TASSK_CREATED","あなたのタスク＃7548は、作成されています。"
"REPEAT_THIS_TASK","この作業を繰り返します"
"DONUT_SMALL","donut_small"
"PERSON","人"
"MORE_HORIZ","more_horiz"
"EXPLORE","探ります"
"REDEEM","買い戻します"
"EXIT_TO_APP","exit_to_app"
"BANNER","バナー"
"ANOTHER_OFFERING","別の売出しを追加"
"MENU","メニュー"
"ALERT_SOUND","警告音"
"FULL_SCREEN","全画面表示"
"ALERTS","アラート"
"TRAIL_PERIOD","トライアル期間"
"TASKS","タスク"
"OPTIMIZE_ROUTE","ルートの最適化"
"TIME","時間"
"FILTER","フィルタ"
"DISTANCE","距離"
"SELECT_UNASSIGNED","割り当てられていないタスクを選択します"
"TIME_RANGE","時間範囲"
"TO","に"
"NO_TASK_MSG","あなたが選択した時間範囲の任意のタスクを持っていません"
"SELECT","選択します"
"MIN_TASK","最小タスクごと"
"MAX_TASK","最大タスクごと"
"MAX","最大"
"MIN","分"
"ROUTE_OPTIMIZATION_PRIORITY","ルート最適化の優先順位"
"START_LOCATION","エージェントのスタート場所"
"CURRENT_LOCATION","現在位置"
"BUSINESS_LOCATION","事業拠点"
"CUSTOM_LOCATION","カスタム場所"
"SELECT_ALL","すべて選択"
"TASK","仕事"
"UNROUTED_TASK","未配線作業"
"TASKS_NOT_ROUTED","タスクはルーティングされませんでした"
"ROUTING","ルーティング"
"ROUTE_OPTIMIZATION_PARAMETERS","ルート最適化パラメータを選択します"
"OPTIMIZED_VIA","ルートが経由して最適化することができます"
"ENTER_CUSTOM_LOCATION","カスタム場所を入力します。"
"TASK_DURATION","タスクの所要時間は5分に等しいデフォルトであるが、それはカスタムタスク期間オプションを使用してカスタマイズすることができます。"
"DURATION_DEFAULT","タスクの期間は、終了時刻と開始時刻との差に等しいデフォルトであるが、それはカスタムタスク期間オプションを使用してカスタマイズすることができます。"
"DEFAULT_5MINUTES","タスクの期間は、デフォルトで5分です"
"DURATION_DIFFERENCE","タスクの期間は、デフォルトでは、開始と終了時刻との差です。"
"PER","あたり"
"CONSIDER_PICKUP_DELIVERY_TIME","考えてみて、ピックアップと配達時間"
"MINIMIZE_DRIVE_TIME","エージェントは、駆動時間を最小化"
"DRIVE_ON_TIME_END","エージェントは、常に時間に到着すべきです"
"WILL_BE_OPTIMIZE_TASK","タスクは終了時間の制約内で最適化されますが、割り当てられていないタスクをもたらすことができます"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","タスクは関係なく、タスクの終了時間の全体の日のために最適化されます"
"custom_task_duration","カスタムタスク期間"
"MAX_task_per_fleet","MAXIMUM TASK PERエージェント"
"routed_task","ルーティングされたタスク"
"ASSIGN_AGENTS","エージェントの割り当て"
"SELECT_TEAM","チームを選ぶ"
"SUBMIT","提出します"
"DETAILS","細部"
"ADDRESS","住所"
"CUSTOMER_NAME","顧客名"
"CUSTOMER_PHONE","お客様の電話番号"
"TASK_ID","タスクID"
"TASK_DETAILS","タスクの詳細"
"TASK_TYPE","タスクの種類"
"DESCRIPTION","説明"
"TASK_STATUS","タスクステータス"
"CUSTOMER_DETAILS","お客様情報"
"COMPLETE_TIME","完全な時間"
"THIS","この"
"DELETED","削除されました"
"ADD_AGENT","エージェントを追加"
"LAST_NAME","苗字"
"PHONE","電話"
"ASSIGN","割り当てます"
"SCHEDULE_PERMISSIONS","エージェントへのスケジュールの権限"
"CONTACT","接触"
"NAME","あなたの名前は何ですか"
"TIMELINE","タイムライン"
"NO_TIMELINE","その日のために利用できませんタイムライン"
"NOT_UPDATED","更新されていない"
"LAST_STOPPAGE_TIME","最後のロスタイム"
"LAST_MOVING_TIME","最後の移動時間"
"AGENTS","検索エージェント"
"STATUS","状態"
"TASK_DESCRIPTION","タスク説明"
"CUSTOM_FIELDS","カスタム"
"REFERENCE_IMAGE","参照画像"
"ACTIVITY_TIMELINE","アクティビティタイムライン"
"PATH_HISTORY","パスの歴史"
"START_BEFORE","前に開始"
"COMPLETE_BEFORE","完了する前に"
"CUSTOMER","顧客"
"TOTAL_TIME_TAKEN","合計時間は、撮影します"
"DISTANCE_TRAVELLED","走行距離"
"REASSIGN","再割り当て"
"EDIT_TASKS","タスクの編集"
"DUPLICATE_TASKS","重複するタスク"
"CHANGE_STATUS","ステータスを変更する"
"DELETE_TASKS","タスクの削除"
"Export_Tasks","エクスポートタスク"
"CUSTOMER_RATING","お客様の採点"
"TASK_DETAIL","細部"
"HISTORY","歴史"
"CONNECTED_TASKS","接続されているタスク"
"TRACKING_LINK","追跡リンク"
"CLICK_TO_TRACK","追跡するには、ここをクリックし"
"PENDING","保留中"
"COMPLETED","完成しました"
"CANCELLED","キャンセル"
"NO_TASKS","その日のために利用できませんタスク"
"TEAM","チーム"
"SEEN","見て"
"UNSEEN","目に見えません"
"SEARCH_FLEET","サーチ"
"FLEET_RIGHT_2_TEXT_1","すべて"
"FLEET_TEAM","チーム"
"FLEET_NAME","エージェント名"
"FLEET_ID","エージェントID"
"FLEET_EMAIL","Eメール"
"FLEET_TAGS","タグ"
"PERMISSIONS","アクセス権"
"ACTIVATE","アクティブ化"
"MANAGER_RIGHT_2_CLICK_HERE","ここをクリック"
"SCHEDULE","アカウントのスケジュール。"
"CONTROL","コントロール"
"MANAGER","マネージャー"
"SUB_HEADER","あなたのエージェントに設定されたデフォルト勤務時間"
"SUB_HEADER_2","あなたのマネージャーのためのアクセス権を設定します。"
"MANAGER_RIGHT_1","管理者はアクセスできません。"
"MANAGER_RIGHT_2","管理者は、閲覧＆編集することができます"
"MANAGER_RIGHT_2_TEXT_1","すべての管理者は、デフォルトでアクセスすることができます。"
"MANAGER_RIGHT_2_TEXT_2","この設定を変更します。"
"SUB_HEADER_3","あなたのためのアクセス権を設定します。"
"FLEET_RIGHT_1","アクセスできません。"
"FLEET_RIGHT_2","閲覧＆編集することができます"
"FLEET_RIGHT_2_TEXT_2","デフォルトでアクセスすることができます。"
"FLEET_RIGHT_2_TEXT_3","この設定を変更します。"
"UPDATE_MANAGER_PERMISSIONS","Update Managerの権限"
"SET_MANAGER_RIGHTS","あなたのマネージャーのための表示と編集権を設定します"
"SEARCH_MANAGER","検索マネージャー"
"MANGER_NAME","マネージャーの名前"
"MANGER_EMAIL","マネージャーのメール"
"MANGER_TEAM","マネージャーチーム"
"MANAGER_ID","ID"
"SEARCH_TEAM","検索チーム"
"CANCEL_FILTERS","フィルタをキャンセル"
"SET_FLEET_RIGHTS","あなたのための表示と編集権を設定します"
"SEARCH_TAG","検索タグ"
"STEP","ステップ"
"OF","の"
"VIEW_ONLY","表示のみ"
"VIEW&EDIT","ビュー＆EDIT"
"SEARCH_MANAGER_PLACEHOLDER","マネージャーの名前"
"CUSTOM_RIGHT_AGENT","あなたはすべてのカスタム権限を設定しています"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","検索カスタマー"
"IMPORT_CSV","CSVのインポート"
"SELECT_FILE","ファイルを選ぶ"
"IMPORT_CUSTOMERS","インポートお客様"
"CLICK_HERE_TEXT","顧客のデータインポート用のサンプル値でCSVファイルテンプレートをダウンロードします"
"DRAG_DROP","ドラッグ＆ドロップCSVファイル"
"GET_IN_TOUCH","連絡する"
"SELECT_TEMPLATE","テンプレートを選択します"
"CREATE_TASK_VIA_CSV","CSV経由でタスクを作成します。"
"DOWNLOAD_SAMPLE_FILE","サンプルファイルをダウンロード"
"HAVE_CUSTOM_FILE","カスタムファイルをお持ちですか？"
"SELECT_CUSTOM_FIELD","カスタムフィールドテンプレートを選択します"
"REMOVE_TEMPLATE","テンプレートを削除します"
"DROP_FILE","添付するファイルをドロップしますか、"
"BROWSE","ブラウズ"
"CSV_UPLOAD","CSVアップロードレポート"
"REASON","理由"
"UPLOAD_STATUS","アップロードステータス"
"SUCCESS","成功"
"FAILED","失敗しました。"
"DELIVERY","配達"
"PICK_UP","拾う"
"CSV","CSV経由"
"CREATE","作ります"
"PICKUP","拾う"
"APP_ADD_REQ","予定のアドレスが必要です"
"ENSURE_FIELDS_BEFORE_UPLOAD","サンプルCSVのヘッダフィールドはアップロード前に変更されていないことを確認してください。"
"FOR","ために"
"HEADING","アカウントの設定"
"NEW_TASK","新しい仕事"
"AUTO_ASSIGN","自動割り当て"
"SELECT_AGENTS","選択エージェント"
"HELP_TEXT_1","あなたは、アクティブなを持っていません"
"CHANGE_TASK_STATUS","変更タスクのステータス"
"SELECT_A_TEAM","ルートを最適化する前にチームを選択"
"HELP_TEXT_2","たす"
"SELECT_DELIVERY_OPTIONS","フィールドを表示するには、配信オプションを選択します"
"SELECT_PICKUP_OPTIONS","選択したフィールドを表示するオプションを拾います"
"LATITUDE","緯度"
"LONGITUDE","経度"
"DELIVERY_ADDRESS","配信アドレス"
"TIMINGS","タイミング"
"PICKUP_TIME","お迎えの時間"
"GREATER_TIME","時間は、現在の時刻よりも大きくなければなりません"
"DELIVERY_TIME","納期"
"START_TIME","始まる時間"
"END_TIME","終了時間"
"ENT_TIME_GREATER","終了時刻は、開始時刻よりも大きくなければなりません"
"CLIENT","クライアント"
"REFERENCE_IMAGES","基準画像"
"ENABLE","有効"
"LABEL","ラベル"
"VALUE","フィールド値"
"ACTION","アクション"
"ADD_ROW","行を追加する"
"BUSSINESS_NAME","商号"
"MERCHANT_CONTACT","マーチャント問い合わせ"
"PICKUP_POINT","集荷場"
"START_WITH","皮切りに"
"LOCATION","ロケーション"
"ADD_CUSTOM_FIELDS","カスタムフィールドを追加します。"
"DELIVERY_TIME_GREATER","配達時間はお迎え時間よりも大きくなければなりません。"
"REPEAT_TASK","タスクを繰り返し"
"ASIGN_AGENT","エージェントの割り当て"
"VIA_PARTNER","パートナー経由"
"CREATE_TASK","アプリからタスクを作成します。"
"MANUALLY","手動"
"SWITCH_GEO_ON","ジオフェンシング上のスイッチ"
"SELECT_AGENT","Select_Agent"
"NO","いいえ"
"AVAILABLE","利用できます"
"YES","はい"
"PICK_UP_DETAILS","ピックアップ詳細"
"DELIVERY_DETAILS","配達の詳細"
"RESET","リセット"
"SELECT_PARTNER","パートナーを選択"
"ASSIGN_TASKS","同じチームに接続されているタスクを割り当てると、"
"ALL_TASKS","すべて"
"PICKUP_ADDRESS","アドレスをピックアップ"
"END_TIME_GREATER","終了時間*"
"Task_DESCRIPTION","タスク説明"
"ADD_GEOFENCE","ジオフェンスフィルタを有効にするには、タスクのアドレスを追加します。"
"NO_GEOFENCE","あなた避難所\ 'トンのセットアップ任意のジオフェンス領域はまだ"
"MATCHES_FILTER","フィルタに一致します"
"AUTO","オート"
"MANUAL","マニュアル"
"NO_TEAM","利用可能なチームは、継続するためのチームを追加しないでください。"
