"key","value"
"PLACEHOLDER","Поиск на карте"
"TASK_LEFT","Осталось задание"
"TASKS_LEFT","осталось заданий"
"DAY_LEFT","Остался день"
"DAYS_LEFT","Осталось дней"
"ADD_NEW_TASK","Добавить новое задание"
"IMPORT_BULK_TASKS","Массовая загрузка данных"
"ALL_ALERTS","Все уведомления"
"DASHBOARD","Админ-панель"
"ANALYTICS","Аналитика"
"MORE","Больше"
"WHATS_NEW","Что нового"
"ACCOUNT","Учетная запись"
"SUPPORT","Поддержка"
"LOGOUT","Выход"
"TODAY","Сегодня"
"NEW_DASHBOARD","Новая админ-панель"
"BUSINESS_VIEW","Просмотр"
"OLD_DASHBOARD","Переключить на ""старую"" админ-панель"
"LIST","Список"
"OVERALL","Итоговый"
"UNVERIFIED","Не верифицированные"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Перейти на страницу Платежных данных"
"PAY_NOW","Оплатить сейчас"
"YOUR_TASSK_CREATED","Ваше задание №7548 было создано"
"REPEAT_THIS_TASK","Повторить задание"
"DONUT_SMALL","donut_small"
"PERSON","person"
"MORE_HORIZ","more_horiz"
"EXPLORE","explore"
"REDEEM","redeem"
"EXIT_TO_APP","exit_to_app"
"BANNER","Баннер"
"ANOTHER_OFFERING","Добавить продукт/услугу"
"MENU","Меню"
"ALERT_SOUND","Звук уведомления"
"FULL_SCREEN","Полный экран"
"ALERTS","Уведомления"
"TRAIL_PERIOD","Пробный период"
"TASKS","Задания"
"OPTIMIZE_ROUTE","Оптимизировать маршрут"
"TIME","Время"
"FILTER","Фильтр"
"DISTANCE","Расстояние"
"SELECT_UNASSIGNED","Выберите Не назначенные задания"
"TIME_RANGE","Временной интервал"
"TO","_"
"NO_TASK_MSG","У вас нет активных заданий в выбранный временной интервал"
"SELECT","Выбрать"
"MIN_TASK","Минимум заданий в"
"MAX_TASK","Максимум заданий в"
"MAX","Максимум"
"MIN","Минуты"
"ROUTE_OPTIMIZATION_PRIORITY","Приоритет оптимизации маршрута"
"START_LOCATION","Продолжить"
"CURRENT_LOCATION","Текущая геолокация"
"BUSINESS_LOCATION","Местоположение компании"
"CUSTOM_LOCATION","Введите геолокация"
"SELECT_ALL","Выбрать все"
"TASK","Задание"
"UNROUTED_TASK","Задание без маршрута"
"TASKS_NOT_ROUTED","для заданий не был построен маршрут"
"ROUTING","Построение маршрута"
"ROUTE_OPTIMIZATION_PARAMETERS","Выбрать параметры построения маршрута"
"OPTIMIZED_VIA","Маршруты могут быть оптимизированы с помощью"
"ENTER_CUSTOM_LOCATION","Ввести гео-локацию"
"TASK_DURATION","Длительность задания по умолчанию выставлена в 5 минут, но может изменяться по желанию клиента, с помощью настройки Длительность задания."
"DURATION_DEFAULT","Длительность задания по умолчанию выставлена как разница между временем окончания и временем начала выполнения, но но может изменяться по желанию клиента, с помощью настройки Длительность задания."
"DEFAULT_5MINUTES","длительность равна пяти минутам по умолчанию"
"DURATION_DIFFERENCE","Длительностью задания по умолчанию считается разница между временем начала и окончанием его выполнения."
"PER","для"
"CONSIDER_PICKUP_DELIVERY_TIME","Выбрать время забора и доставки"
"MINIMIZE_DRIVE_TIME","Минимизировать время вождения"
"DRIVE_ON_TIME_END","всегда должен прибывать вовремя"
"WILL_BE_OPTIMIZE_TASK","будут оптимизированы в пределах времени на выполнение, но может привести к  неполному назначению"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","будет оптимизирован для всего дня, независимо от"
"custom_task_duration","Продолжительность задания"
"MAX_task_per_fleet","Максимум заданий на Агента"
"routed_task","Бегство задача"
"ASSIGN_AGENTS","Назначить агентов"
"SELECT_TEAM","Выбрать группу"
"SUBMIT","Сохранить"
"DETAILS","Подробности"
"ADDRESS","Адрес"
"CUSTOMER_NAME","Имя клиента"
"CUSTOMER_PHONE","Телефон клиента"
"TASK_ID","ID задания"
"TASK_DETAILS","Детали задания"
"TASK_TYPE","Тип задания"
"DESCRIPTION","Описание"
"TASK_STATUS","Статус задания"
"CUSTOMER_DETAILS","Данные клиента"
"COMPLETE_TIME","Общее время"
"THIS","Это"
"DELETED","Удаленные"
"ADD_AGENT","Добавить Агента"
"LAST_NAME","Фамилия"
"PHONE","Телефон"
"ASSIGN","Назначить"
"SCHEDULE_PERMISSIONS","Назначить права доступа для агента"
"CONTACT","Контакт"
"NAME","Как вас зовут?"
"TIMELINE","Хронология"
"NO_TIMELINE","Хронология отсутствует"
"NOT_UPDATED","Не обновлено"
"LAST_STOPPAGE_TIME","Последнее время остановки"
"LAST_MOVING_TIME","Последнее время движения"
"AGENTS","Агенты"
"STATUS","Статус"
"TASK_DESCRIPTION","Описание задания"
"CUSTOM_FIELDS","Настраиваемые поля"
"REFERENCE_IMAGE","Изображение-референс"
"ACTIVITY_TIMELINE","График активности"
"PATH_HISTORY","История  маршрутов"
"START_BEFORE","Начать до"
"COMPLETE_BEFORE","Закончить до"
"CUSTOMER","Клиенты"
"TOTAL_TIME_TAKEN","Всего потрачено времени"
"DISTANCE_TRAVELLED","Пройденная дистанция"
"REASSIGN","Назначить повторно"
"EDIT_TASKS","Редактировать задание"
"DUPLICATE_TASKS","Дублировать задание"
"CHANGE_STATUS","Изменить статус"
"DELETE_TASKS","Удалить задание"
"Export_Tasks","Экспорт задания"
"CUSTOMER_RATING","Рейтинг клиентов"
"TASK_DETAIL","Детали"
"HISTORY","История"
"CONNECTED_TASKS","Связанные задания"
"TRACKING_LINK","Ссылка на отслеживание"
"CLICK_TO_TRACK","Нажмите для отслеживания"
"PENDING","Текущие"
"COMPLETED","Выполненные"
"CANCELLED","Отмененные"
"NO_TASKS","На сегодня заданий нет"
"TEAM","Группа"
"SEEN","Просмотрено"
"UNSEEN","Не просмотрено"
"SEARCH_FLEET","Поиск"
"FLEET_RIGHT_2_TEXT_1","Все"
"FLEET_TEAM","Группа"
"FLEET_NAME","Имя Агента"
"FLEET_ID","ID Агента"
"FLEET_EMAIL","E-mail"
"FLEET_TAGS","Тэги"
"PERMISSIONS","Права доступа"
"ACTIVATE","Активировать"
"MANAGER_RIGHT_2_CLICK_HERE","Нажмите здесь"
"SCHEDULE","Расписание для вашей учетной записи"
"CONTROL","Контролировать"
"MANAGER","Менеджер"
"SUB_HEADER","Установить рабочие часы по умолчанию для Агента"
"SUB_HEADER_2","Установить права доступа для Менеджера"
"MANAGER_RIGHT_1","Менеджер не имеет доступа"
"MANAGER_RIGHT_2","Менеджер может просматривать и редактировать"
"MANAGER_RIGHT_2_TEXT_1","По умолчанию, все менеджеры имеют доступ."
"MANAGER_RIGHT_2_TEXT_2","чтобы изменить эти настройки."
"SUB_HEADER_3","Установить права доступа для"
"FLEET_RIGHT_1","не имеет доступа"
"FLEET_RIGHT_2","может просматривать и редактировать"
"FLEET_RIGHT_2_TEXT_2","имеют доступ по умолчанию."
"FLEET_RIGHT_2_TEXT_3","чтобы изменить эту настройку."
"UPDATE_MANAGER_PERMISSIONS","Изменить права доступа Менеджера"
"SET_MANAGER_RIGHTS","Установить право просмотра и редактирования для Менеджера"
"SEARCH_MANAGER","Поиск менеджера"
"MANGER_NAME","Имя менеджера"
"MANGER_EMAIL","E-mail менеджера"
"MANGER_TEAM","Группы менеджера"
