"key","value"
"PLACEHOLDER","Arama Harita"
"TASK_LEFT","görev Kalan"
"TASKS_LEFT","görev sol"
"DAY_LEFT","Kalan gün"
"DAYS_LEFT","kalan günler"
"ADD_NEW_TASK","Yeni ekle"
"IMPORT_BULK_TASKS","Toplu Alma"
"ALL_ALERTS","Tüm Uyarılar"
"DASHBOARD","gösterge paneli"
"ANALYTICS","Analytics"
"MORE","Daha"
"WHATS_NEW","Ne var ne yok"
"ACCOUNT","hesap"
"SUPPORT","Destek"
"LOGOUT","Çıkış Yap"
"TODAY","bugün"
"NEW_DASHBOARD","Yeni Gösterge Tablosu"
"BUSINESS_VIEW","İşletme Görünümü"
"OLD_DASHBOARD","Eski kontrol paneline geri dönün"
"LIST","Liste"
"OVERALL","tüm"
"UNVERIFIED","Doğrulanmamış"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Ziyaret Fatura Sayfa"
"PAY_NOW","Şimdi öde"
"YOUR_TASSK_CREATED","Göreviniz # 7548 oluşturuldu."
"REPEAT_THIS_TASK","Bu görevi tekrarlayın"
"DONUT_SMALL","donut_small"
"PERSON","kişi"
"MORE_HORIZ","more_horiz"
"EXPLORE","keşfetmek"
"REDEEM","kurtarmak"
"EXIT_TO_APP","exit_to_app"
"BANNER","afiş"
"ANOTHER_OFFERING","Başka ve Detayını"
"MENU","Menü"
"ALERT_SOUND","Uyarı Ses"
"FULL_SCREEN","Tam ekran"
"ALERTS","Uyarılar"
"TRAIL_PERIOD","Deneme süresi"
"TASKS","Görevler"
"OPTIMIZE_ROUTE","Rota optimize"
"TIME","Zaman"
"FILTER","filtre"
"DISTANCE","Mesafe"
"SELECT_UNASSIGNED","Atanmayanlar görevleri seçip"
"TIME_RANGE","Zaman aralığı"
"TO","için"
"NO_TASK_MSG","Seçilen zaman aralığı için herhangi bir görev yok"
"SELECT","seçmek"
"MIN_TASK","Asgari Görev Başına"
"MAX_TASK","Maksimum Görev Başına"
"MAX","Maksimum"
"MIN","min"
