"key","value"
"PLACEHOLDER","Suche Karte"
"TASK_LEFT","Aufgabe Rest"
"TASKS_LEFT","Aufgabe links"
"DAY_LEFT","Tag Rest"
"DAYS_LEFT","verbleibende Tage"
"ADD_NEW_TASK","Neue hinzufügen"
"IMPORT_BULK_TASKS","Bulk-Import"
"ALL_ALERTS","Alle Warnungen"
"DASHBOARD","Instrumententafel"
"ANALYTICS","Analytics"
"MORE","Mehr"
"WHATS_NEW","Was gibt's Neues"
"ACCOUNT","Konto"
"SUPPORT","Unterstützung"
"LOGOUT","Ausloggen"
"TODAY","heute"
"NEW_DASHBOARD","neues Dashboard"
"BUSINESS_VIEW","Business View"
"OLD_DASHBOARD","Wechseln Sie zurück zu alter Armaturenbrett"
"LIST","Liste"
"OVERALL","Insgesamt"
"UNVERIFIED","Ungeprüft"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Besuchen Sie Billing Seite"
"PAY_NOW","Zahl jetzt"
"YOUR_TASSK_CREATED","Ihre Aufgabe # 7548 wurde erstellt."
"REPEAT_THIS_TASK","Wiederholen Sie diese Aufgabe"
"DONUT_SMALL","donut_small"
"PERSON","Person"
"MORE_HORIZ","more_horiz"
"EXPLORE","erkunden"
"REDEEM","einlösen"
"EXIT_TO_APP","exit_to_app"
"BANNER","Transzparens"
"ANOTHER_OFFERING","Add Tovább felajánlása"
"MENU","Menü"
"ALERT_SOUND","Alarmton"
"FULL_SCREEN","Vollbild"
"ALERTS","Benachrichtigungen"
"TRAIL_PERIOD","Próbaidő"
"TASKS","Aufgaben"
"OPTIMIZE_ROUTE","Route optimieren"
"TIME","Zeit"
"FILTER","Filter"
"DISTANCE","Entfernung"
"SELECT_UNASSIGNED","Wählen Sie nicht zugewiesen Aufgaben"
"TIME_RANGE","Zeitspanne"
"TO","zu"
"NO_TASK_MSG","Sie haben keine Aufgabe für ausgewählte Zeitbereich"
"SELECT","Wählen"
"MIN_TASK","Mindest-Aufgaben Pro"
"MAX_TASK","Maximale Aufgabe Per"
"MAX","Maximal"
"MIN","Mindest"
"ROUTE_OPTIMIZATION_PRIORITY","Routenoptimierung Priorität"
"START_LOCATION","Agent Startort"
"CURRENT_LOCATION","Aktueller Standort"
"BUSINESS_LOCATION","Wirtschaftsstandort"
"CUSTOM_LOCATION","Benutzerdefinierte Position"
"SELECT_ALL","Alles auswählen"
"TASK","Aufgabe"
"UNROUTED_TASK","Unrouted Aufgabe"
"TASKS_NOT_ROUTED","Aufgaben wurden nicht weitergeleitet"
"ROUTING","Routing"
"ROUTE_OPTIMIZATION_PARAMETERS","Wählen Sie Routenoptimierungsparameter"
"OPTIMIZED_VIA","Die Routen können über optimiert werden"
"ENTER_CUSTOM_LOCATION","Geben Sie Benutzerdefinierte Position"
"TASK_DURATION","Die Dauer einer Aufgabe ist standardmäßig gleich 5 Minuten, aber es kann angepasst die benutzerdefinierten Aufgaben Dauer-Option."
"DURATION_DEFAULT","Die Dauer einer Aufgabe ist standardmäßig gleich Differenz zwischen Endzeit und Zeit starten, aber es kann angepasst die benutzerdefinierten Aufgaben Dauer-Option."
"DEFAULT_5MINUTES","Aufgabendauer ist 5 Minuten mit dem Standard"
"DURATION_DIFFERENCE","Dauer Aufgabe ist die Differenz zwischen Start- und Endzeit standardmäßig."
"PER","pro"
