"key","value"
"PLACEHOLDER","البحث الخريطة"
"TASK_LEFT","باقي المهمة"
"TASKS_LEFT","ترك مهمة"
"DAY_LEFT","يوم المتبقية"
"DAYS_LEFT","الأيام المتبقية"
"ADD_NEW_TASK","اضف جديد"
"IMPORT_BULK_TASKS","استيراد السائبة"
"ALL_ALERTS","كل التنبيهات"
"DASHBOARD","لوحة القيادة"
"ANALYTICS","تحليلات"
"MORE","أكثر من"
"WHATS_NEW","ما هو الجديد"
"ACCOUNT","الحساب"
"SUPPORT","الدعم"
"LOGOUT","الخروج"
"TODAY","اليوم"
"NEW_DASHBOARD","لوحة جديدة"
"BUSINESS_VIEW","الأعمال مشاهدة"
"OLD_DASHBOARD","التبديل إلى لوحة القيادة القديمة"
"LIST","قائمة"
"OVERALL","بصورة شاملة"
"UNVERIFIED","غير مثبت عليه"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","زيارة الفواتير الصفحة"
"PAY_NOW","ادفع الآن"
"YOUR_TASSK_CREATED","تم إنشاء مهمتك # 7548."
"REPEAT_THIS_TASK","كرر هذه المهمة"
"DONUT_SMALL","donut_small"
"PERSON","شخص"
"MORE_HORIZ","more_horiz"
"EXPLORE","يكتشف"
"REDEEM","خلص"
"EXIT_TO_APP","exit_to_app"
"BANNER","راية"
"ANOTHER_OFFERING","إضافة الطرح أخرى"
"MENU","قائمة طعام"
"ALERT_SOUND","صوت التنبيه"
"FULL_SCREEN","تكبير الشاشة"
"ALERTS","التنبيهات"
"TRAIL_PERIOD","الفترة التجريبية"
"TASKS","مهام"
"OPTIMIZE_ROUTE","تحسين الطريق"
"TIME","زمن"
"FILTER","منقي"
"DISTANCE","مسافه: بعد"
"SELECT_UNASSIGNED","تحديد المهام غير المعينة"
"TIME_RANGE","النطاق الزمني"
"TO","إلى"
"NO_TASK_MSG","لم يكن لديك أي مهمة للنطاق الزمني المحدد"
"SELECT","تحديد"
"MIN_TASK","الحد الأدنى لكل المهام"
"MAX_TASK","الحد الأقصى لكل المهام"
"MAX","أقصى"
"MIN","دقيقة"
"ROUTE_OPTIMIZATION_PRIORITY","الطريق الأمثل الأولوية"
"START_LOCATION","وكيل موقع البدء"
"CURRENT_LOCATION","الموقع الحالي"
"BUSINESS_LOCATION","موقع العمل"
"CUSTOM_LOCATION","موقع مخصص"
"SELECT_ALL","اختر الكل"
"TASK","مهمة"
"UNROUTED_TASK","Unrouted العمل"
"TASKS_NOT_ROUTED","لم يتم توجيه المهام"
"ROUTING","التوجيه"
"ROUTE_OPTIMIZATION_PARAMETERS","تحديد معلمات الطريق الأمثل"
"OPTIMIZED_VIA","يمكن أن يكون الأمثل الطرق عبر"
"ENTER_CUSTOM_LOCATION","أدخل موقع مخصص"
"TASK_DURATION","المدة من مهمة هي افتراضيا يساوي 5 دقائق، ولكن يمكن تخصيصها باستخدام المهام مخصص مدة الخيار."
"DURATION_DEFAULT","المدة من مهمة هي افتراضيا يساوي الفرق بين وقت الانتهاء ووقت البدء، ولكن يمكن تخصيصها باستخدام المهام مخصص مدة الخيار."
"DEFAULT_5MINUTES","مدة المهمة 5 دقائق افتراضيا"
"DURATION_DIFFERENCE","مدة المهمة الفرق بين بداية ونهاية الوقت افتراضيا."
"PER","لكل"
"CONSIDER_PICKUP_DELIVERY_TIME","النظر في البيك اب والتسليم في الوقت المحدد"
