"key","value"
"PLACEHOLDER","搜索地图"
"TASK_LEFT","剩余任务"
"TASKS_LEFT","剩下的任务"
"DAY_LEFT","剩余天"
"DAYS_LEFT","剩余天数"
"ADD_NEW_TASK","添新"
"IMPORT_BULK_TASKS","批量导入"
"ALL_ALERTS","所有警报"
"DASHBOARD","仪表板"
"ANALYTICS","Analytics（分析）"
"MORE","更多"
"WHATS_NEW","什么是新的"
"ACCOUNT","帐户"
"SUPPORT","支持"
"LOGOUT","登出"
"TODAY","今天"
"NEW_DASHBOARD","新的仪表板"
"BUSINESS_VIEW","业务视图"
"OLD_DASHBOARD","切换回旧版信息中心"
"LIST","名单"
"OVERALL","总体"
"UNVERIFIED","未验证"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","访问结算页面"
"PAY_NOW","现在付款"
"YOUR_TASSK_CREATED","你的任务＃7548已创建。"
"REPEAT_THIS_TASK","重复此任务"
"DONUT_SMALL","donut_small"
"PERSON","人"
"MORE_HORIZ","more_horiz"
"EXPLORE","探索"
"REDEEM","赎回"
"EXIT_TO_APP","exit_to_app"
"BANNER","旗帜"
"ANOTHER_OFFERING","添加另一个发售"
"MENU","菜单"
"ALERT_SOUND","警报声音"
"FULL_SCREEN","全屏"
"ALERTS","警报"
"TRAIL_PERIOD","试用期"
"TASKS","任务"
"OPTIMIZE_ROUTE","优化路线"
"TIME","时间"
"FILTER","过滤"
"DISTANCE","距离"
"SELECT_UNASSIGNED","选择未分配的任务"
"TIME_RANGE","时间范围"
"TO","至"
"NO_TASK_MSG","你不必为选定的时间范围内任何任务"
"SELECT","选择"
"MIN_TASK","最低每次任务"
"MAX_TASK","最大任务每"
"MAX","最大值"
"MIN","分"
"ROUTE_OPTIMIZATION_PRIORITY","路线优化优先"
"START_LOCATION","代理启动位置"
"CURRENT_LOCATION","当前位置"
"BUSINESS_LOCATION","商户位置"
"CUSTOM_LOCATION","自定义位置"
"SELECT_ALL","全选"
"TASK","任务"
"UNROUTED_TASK","未布线的任务"
"TASKS_NOT_ROUTED","任务没有路由"
"ROUTING","路由"
"ROUTE_OPTIMIZATION_PARAMETERS","选择路线优化参数"
"OPTIMIZED_VIA","该路线可以通过优化"
"ENTER_CUSTOM_LOCATION","输入自定义位置"
"TASK_DURATION","任务的持续时间默认为5分钟，但它可以自定义使用自定义任务持续时间选项。"
"DURATION_DEFAULT","任务的持续时间是在默认情况下等于结束时间和开始时间之间的区别，但它可以自定义使用自定义任务持续时间选项。"
"DEFAULT_5MINUTES","任务持续时间为5分钟默认"
"DURATION_DIFFERENCE","任务持续时间的开始和结束时间默认之间的差异。"
"PER","每"
"CONSIDER_PICKUP_DELIVERY_TIME","考虑提货和交货时间"
"MINIMIZE_DRIVE_TIME","代理最小化的驱动时间"
"DRIVE_ON_TIME_END","代理人应准时到达始终"
"WILL_BE_OPTIMIZE_TASK","任务将结束时间约束内被优化，但可能会导致未分配的任务"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","任务将在整天不论任务结束时进行优化"
"custom_task_duration","自定义任务持续时间"
"MAX_task_per_fleet","最大任务每个代理"
"routed_task","路由任务"
"ASSIGN_AGENTS","代理分配"
"SELECT_TEAM","选择团队"
"SUBMIT","提交"
"DETAILS","细节"
"ADDRESS","地址"
"CUSTOMER_NAME","顾客姓名"
"CUSTOMER_PHONE","客户电话"
"TASK_ID","任务ID"
"TASK_DETAILS","任务详细信息"
"TASK_TYPE","任务类型"
"DESCRIPTION","描述"
"TASK_STATUS","任务状态"
"CUSTOMER_DETAILS","顾客信息"
"COMPLETE_TIME","完成时间"
"THIS","这个"
"DELETED","删除"
"ADD_AGENT","添加代理"
"LAST_NAME","姓"
"PHONE","电话"
"ASSIGN","分配"
"SCHEDULE_PERMISSIONS","附表权限代理"
"CONTACT","联系"
"NAME","你叫什么名字"
"TIMELINE","时间线"
"NO_TIMELINE","无可用一天时间线"
"NOT_UPDATED","未更新"
"LAST_STOPPAGE_TIME","最后补时阶段"
"LAST_MOVING_TIME","上次移动时间"
"AGENTS","搜索代理"
"STATUS","状态"
"TASK_DESCRIPTION","任务描述"
"CUSTOM_FIELDS","习俗"
"REFERENCE_IMAGE","参考图片"
"ACTIVITY_TIMELINE","活动时间表"
"PATH_HISTORY","路径历史"
"START_BEFORE","开始前"
"COMPLETE_BEFORE","完成前"
"CUSTOMER","顾客"
"TOTAL_TIME_TAKEN","全部时间"
"DISTANCE_TRAVELLED","旅行的距离"
"REASSIGN","重新分配"
"EDIT_TASKS","编辑任务"
"DUPLICATE_TASKS","重复任务"
"CHANGE_STATUS","更改状态"
"DELETE_TASKS","删除任务"
"Export_Tasks","导出任务"
"CUSTOMER_RATING","客户评价"
"TASK_DETAIL","细节"
"HISTORY","历史"
"CONNECTED_TASKS","连接任务"
"TRACKING_LINK","跟踪链接"
"CLICK_TO_TRACK","点击此处追踪"
"PENDING","有待"
"COMPLETED","已完成"
"CANCELLED","取消"
"NO_TASKS","没有可用的一天任务"
"TEAM","球队"
"SEEN","看"
"UNSEEN","看不见"
"SEARCH_FLEET","搜索"
"FLEET_RIGHT_2_TEXT_1","所有"
"FLEET_TEAM","球队"
"FLEET_NAME","代理名称"
"FLEET_ID","代理人身份证"
"FLEET_EMAIL","电子邮件"
"FLEET_TAGS","标签"
"PERMISSIONS","权限"
"ACTIVATE","启用"
"MANAGER_RIGHT_2_CLICK_HERE","点击这里"
"SCHEDULE","日程安排您的帐户。"
"CONTROL","控制"
"MANAGER","经理"
"SUB_HEADER","设置默认工作时间为您代理"
"SUB_HEADER_2","访问权限设置，为您的经理"
"MANAGER_RIGHT_1","管理者不能访问"
"MANAGER_RIGHT_2","经理可以查看和编辑"
"MANAGER_RIGHT_2_TEXT_1","所有的经理默认可以访问。"
"MANAGER_RIGHT_2_TEXT_2","改变这种设置。"
"SUB_HEADER_3","设置访问权限为您"
"FLEET_RIGHT_1","无法访问"
"FLEET_RIGHT_2","可以查看和编辑"
"FLEET_RIGHT_2_TEXT_2","默认可以访问。"
"FLEET_RIGHT_2_TEXT_3","更改此设置。"
"UPDATE_MANAGER_PERMISSIONS","更新管理权限"
"SET_MANAGER_RIGHTS","设置查看和编辑您的经理权"
"SEARCH_MANAGER","搜索管理"
"MANGER_NAME","经理姓名"
"MANGER_EMAIL","经理电子邮件"
"MANGER_TEAM","管理团队"
"MANAGER_ID","ID"
"SEARCH_TEAM","搜索小组"
"CANCEL_FILTERS","取消过滤器"
"SET_FLEET_RIGHTS","设置查看和编辑权为您"
"SEARCH_TAG","搜索标签"
"STEP","步"
"OF","的"
"VIEW_ONLY","只读"
"VIEW&EDIT","查看＆编辑"
"SEARCH_MANAGER_PLACEHOLDER","经理姓名"
"CUSTOM_RIGHT_AGENT","您已设置的自定义权限每"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","搜索客户"
"IMPORT_CSV","导入CSV"
"SELECT_FILE","选择文件"
"IMPORT_CUSTOMERS","导入客户"
"CLICK_HERE_TEXT","下载CSV文件模板样本值客户的数据导入"
"DRAG_DROP","拖放CSV文件"
"GET_IN_TOUCH","保持联系"
"SELECT_TEMPLATE","选择模板"
"CREATE_TASK_VIA_CSV","通过创建任务CSV"
"DOWNLOAD_SAMPLE_FILE","下载示例文件"
"HAVE_CUSTOM_FILE","有一个自定义的文件？"
"SELECT_CUSTOM_FIELD","选择自定义字段模板"
"REMOVE_TEMPLATE","删除模板"
"DROP_FILE","拖放文件到附加或"
"BROWSE","浏览"
"CSV_UPLOAD","CSV上传报告"
"REASON","原因"
"UPLOAD_STATUS","上传状态"
"SUCCESS","成功"
"FAILED","失败"
"DELIVERY","交货"
"PICK_UP","捡起"
"CSV","通过CSV"
"CREATE","创建"
"PICKUP","捡起"
"APP_ADD_REQ","预约地址是必需的"
"ENSURE_FIELDS_BEFORE_UPLOAD","请确保样本CSV标题字段上传之前不会被修改。"
"FOR","对于"
"HEADING","帐户设置"
"NEW_TASK","新任务"
"AUTO_ASSIGN","自动分配"
"SELECT_AGENTS","选择代理"
"HELP_TEXT_1","你有没有活动"
"CHANGE_TASK_STATUS","更改任务状态"
"SELECT_A_TEAM","优化路线之前，选择一个团队"
"HELP_TEXT_2","加上"
"SELECT_DELIVERY_OPTIONS","选择交付选项，以查看域"
"SELECT_PICKUP_OPTIONS","选择拿起的选项，以查看域"
"LATITUDE","纬度"
"LONGITUDE","经度"
"DELIVERY_ADDRESS","邮寄地址"
"TIMINGS","计时"
"PICKUP_TIME","接送时间"
"GREATER_TIME","时间应比目前更大的时间"
"DELIVERY_TIME","交货时间"
"START_TIME","开始时间"
"END_TIME","时间结束"
