"key","value"
"PLACEHOLDER","Szukaj na mapie"
"TASK_LEFT","Pozostałe zadanie"
"TASKS_LEFT","zadania pozostałe"
"DAY_LEFT","Pozostały dzień"
"DAYS_LEFT","Pozostałe dni"
"ADD_NEW_TASK","Dodaj nowy"
"IMPORT_BULK_TASKS","Import hurtowy"
"ALL_ALERTS","Wszystkie alarmy"
"DASHBOARD","Menu główne"
"ANALYTICS","Analizy"
"MORE","Więcej"
"WHATS_NEW","Co nowego"
"ACCOUNT","Konto"
"SUPPORT","Pomoc"
"LOGOUT","Wyloguj"
"TODAY","Dziś"
"NEW_DASHBOARD","Nowa deska rozdzielcza"
"BUSINESS_VIEW","Podglad firmy"
"OLD_DASHBOARD","Przełącz z powrotem do starej deski rozdzielczej"
"LIST","Lista"
"OVERALL","Ogólnie"
"UNVERIFIED","Nie zweryfikowano"
"POWER_SETTINGS_NEW","Nowe ustawienia siły"
"VISIT_BILLING_PAGE","Odwiedź stronę fakturowania"
"PAY_NOW","Zapłać teraz"
"YOUR_TASSK_CREATED","Twoje zadanie numer 7548 zostało utworzone."
"REPEAT_THIS_TASK","Powtórz te zadanie"
"DONUT_SMALL","mały donut"
"PERSON","osoba"
"MORE_HORIZ","więcej horiz"
"EXPLORE","odkrywaj"
"REDEEM","ponowna wersja demo"
"EXIT_TO_APP","wyjdź z aplikacji"
"BANNER","Baner"
"ANOTHER_OFFERING","Dodaj inną ofertę"
"MENU","Menu"
"ALERT_SOUND","Dźwięk powiadomień"
"FULL_SCREEN","Pełen ekran"
"ALERTS","Powiadomienia"
"TRAIL_PERIOD","Okres próbny"
"TASKS","Zadania"
"OPTIMIZE_ROUTE","Optymalizuj trasę"
"TIME","Czas"
"FILTER","Filtr"
"DISTANCE","Odległość"
"SELECT_UNASSIGNED","Wybierz nieprzypisane zadania"
"TIME_RANGE","Ranga czasowa"
"TO","do"
"NO_TASK_MSG","Nie posiadasz żadnych zadań dla wybranej rangi czasowej"
"SELECT","Wybierz"
"MIN_TASK","Minimum zadania na"
