"key","value"
"PLACEHOLDER","Keresés térkép"
"TASK_LEFT","feladat Hátralévő"
"TASKS_LEFT","feladat maradt"
"DAY_LEFT","nap Hátralévő"
"DAYS_LEFT","hátralevő napok"
"ADD_NEW_TASK","Új hozzáadása"
"IMPORT_BULK_TASKS","Tömeges Import"
"ALL_ALERTS","Összes figyelmeztetés"
"DASHBOARD","Műszerfal"
"ANALYTICS","Analitika"
"MORE","Több"
"WHATS_NEW","Mi újság"
"ACCOUNT","Fiók"
"SUPPORT","Támogatás"
"LOGOUT","Kilépés"
"TODAY","Ma"
"NEW_DASHBOARD","új irányítópult"
"BUSINESS_VIEW","üzleti megtekintése"
"OLD_DASHBOARD","Visszaváltás a régi műszerfal"
"LIST","Lista"
"OVERALL","Átfogó"
"UNVERIFIED","Nem ellenőrzött"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","Látogasson számlázási oldal"
"PAY_NOW","Fizess most"
"YOUR_TASSK_CREATED","Az Ön feladata # 7548 jött létre."
"REPEAT_THIS_TASK","Ismételjük meg ezt a feladatot"
"DONUT_SMALL","donut_small"
"PERSON","személy"
"MORE_HORIZ","more_horiz"
"EXPLORE","Fedezd fel"
"REDEEM","megvált"
"EXIT_TO_APP","exit_to_app"
"BANNER","Transzparens"
"ANOTHER_OFFERING","Add Tovább felajánlása"
"MENU","Menü"
"ALERT_SOUND","Alert Sound"
"FULL_SCREEN","Teljes képernyő"
"ALERTS","figyelmeztetések"
"TRAIL_PERIOD","Próbaidő"
"TASKS","feladatok"
"OPTIMIZE_ROUTE","optimalizálja útvonal"
"TIME","Idő"
"FILTER","Szűrő"
"DISTANCE","Távolság"
"SELECT_UNASSIGNED","Válassza ki nem osztott feladatok"
"TIME_RANGE","Időtartományban"
"TO","nak nek"
"NO_TASK_MSG","Nem kell minden feladatot a kiválasztott időtartományban"
"SELECT","választ"
"MIN_TASK","Minimum Task Per"
"MAX_TASK","Maximális Task Per"
"MAX","Maximális"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","Útvonal optimalizálás prioritás"
"START_LOCATION","Agent Kiindulási hely"
"CURRENT_LOCATION","Jelenlegi tartózkodási hely"
"BUSINESS_LOCATION","üzleti hely"
"CUSTOM_LOCATION","egyéni hely"
"SELECT_ALL","Mindet kiválaszt"
"TASK","Feladat"
"UNROUTED_TASK","irányítatlan Feladat"
"TASKS_NOT_ROUTED","feladatok nem voltak irányítva"
"ROUTING","útvonalválasztás"
