"key","value"
"PLACEHOLDER","ძებნა რუკა"
"TASK_LEFT","სამუშაო დარჩენილი"
"TASKS_LEFT","ამოცანა დატოვა"
"DAY_LEFT","დღის დარჩენილი"
"DAYS_LEFT","დღის დარჩენილი"
"ADD_NEW_TASK","ახლის დამატება"
"IMPORT_BULK_TASKS","ნაყარი იმპორტი"
"ALL_ALERTS","ყველა შეტყობინებები"
"DASHBOARD","Dashboard"
"ANALYTICS","ანალიტიკა"
"MORE","სხვა"
"WHATS_NEW","რა არის ახალი"
"ACCOUNT","ანგარიშის"
"SUPPORT","მხარდაჭერა"
"LOGOUT","გამოსვლა"
"TODAY","დღეს"
"NEW_DASHBOARD","new Dashboard"
"BUSINESS_VIEW","Business View"
"OLD_DASHBOARD","გადასვლა უკან ძველ დაფა"
"LIST","სია"
"OVERALL","საერთო"
"UNVERIFIED","გადაუმოწმებელი"
"POWER_SETTINGS_NEW","power_settings_new"
"VISIT_BILLING_PAGE","ვიზიტი Billing გვერდი"
"PAY_NOW","გადაიხადე ახლა"
"YOUR_TASSK_CREATED","შენი ამოცანაა # 7548 შეიქმნა."
"REPEAT_THIS_TASK","გაიმეორეთ ეს ამოცანა"
"DONUT_SMALL","donut_small"
"PERSON","პირი"
"MORE_HORIZ","more_horiz"
"EXPLORE","გამოკვლევა"
"REDEEM","გამოისყიდოს"
"EXIT_TO_APP","exit_to_app"
"BANNER","banner"
"ANOTHER_OFFERING","სანიშნეს სხვა შემოთავაზება"
"MENU","მენიუ"
"ALERT_SOUND","Alert Sound"
"FULL_SCREEN","მთლიანი ეკრანი"
"ALERTS","შეტყობინებები"
"TRAIL_PERIOD","საცდელი პერიოდი"
"TASKS","დავალებები"
"OPTIMIZE_ROUTE","ოპტიმიზაცია მარშრუტი"
"TIME","დრო"
"FILTER","ფილტრი"
"DISTANCE","მანძილი"
"SELECT_UNASSIGNED","აირჩიეთ თვისუფალი ამოცანები"
"TIME_RANGE","დროის დიაპაზონი"
"TO","to"
"NO_TASK_MSG","თქვენ არ გაქვთ ნებისმიერი ამოცანა შერჩეული დროის დიაპაზონი"
